Age,Gender,Socioeconomic_Status,Attendance_Percentage,Study_Hours_Per_Week,Previous_Term_Grade,Continuous_Assessment_Score,Performance_Status
23,Male,Medium,96.4,13.1,65.9,29.3,Excellent
22,Female,Medium,85.3,18.6,70.1,19.3,Average
23,Female,Medium,82.9,16.1,71.2,25.9,Average
19,Male,Medium,100.0,13.3,49.2,27.3,Average
19,Male,Medium,84.9,21.5,79.0,25.7,Excellent
23,Male,Low,88.0,24.7,71.6,25.7,Average
18,Male,Low,87.5,8.8,57.3,31.0,Excellent
21,Male,Medium,68.7,17.6,91.6,16.6,Average
19,Female,Medium,87.9,30.4,65.8,25.6,Excellent
23,Female,High,79.4,16.4,66.6,19.0,Average
24,Female,Medium,70.8,15.6,77.7,28.8,Average
23,Female,High,79.8,14.7,92.6,20.8,Excellent
20,Male,Medium,79.7,17.5,78.2,12.6,Average
21,Male,Medium,95.3,18.8,79.9,28.9,Excellent
22,Male,Low,74.4,8.8,58.0,23.7,Average
18,Male,Medium,77.1,14.9,71.0,26.8,Excellent
22,Male,Medium,87.4,3.7,63.6,32.1,Average
21,Female,Low,71.7,14.0,78.4,26.9,Average
21,Male,Medium,78.4,10.5,79.6,25.8,Average
21,Female,High,68.4,16.7,89.6,24.8,Average
22,Female,Medium,94.2,6.7,44.1,19.3,Average
24,Female,Medium,82.0,12.4,62.4,23.9,Excellent
21,Female,Medium,84.8,19.8,85.6,34.9,Excellent
23,Male,Medium,94.2,11.6,53.2,23.1,Average
22,Female,Medium,77.8,5.5,79.7,24.2,Average
21,Female,Medium,81.9,16.3,83.6,31.3,Excellent
23,Female,Low,74.4,12.1,69.7,17.3,Average
24,Male,Medium,74.4,14.1,52.9,28.1,Average
20,Male,Medium,75.8,11.4,68.5,17.1,Average
24,Male,High,80.1,24.9,87.5,27.0,Excellent
21,Female,High,81.2,7.2,88.5,24.9,Average
22,Female,Medium,87.9,29.2,72.5,28.1,Excellent
19,Male,Medium,76.1,13.0,58.3,19.9,Average
21,Female,Medium,88.2,15.9,90.9,22.3,Excellent
19,Male,High,89.9,12.1,79.9,28.3,Excellent
23,Male,Medium,80.3,11.9,59.1,22.5,Average
20,Female,Medium,77.0,11.1,74.1,28.8,Average
18,Female,Medium,85.9,18.0,73.6,26.0,Excellent
24,Female,Medium,83.0,7.9,62.4,22.8,Average
20,Female,Low,87.2,16.8,74.2,23.4,Excellent
21,Male,Medium,100.0,4.1,83.3,25.0,Excellent
19,Male,Medium,85.7,16.4,66.4,23.9,Average
24,Male,Medium,78.6,19.2,84.5,28.7,Excellent
19,Male,Medium,76.1,8.6,48.9,23.1,Average
22,Male,Medium,76.5,18.4,96.6,22.1,Excellent
19,Female,Medium,70.4,15.3,70.7,29.6,Excellent
22,Male,Low,94.3,23.0,82.9,22.9,Excellent
23,Male,High,62.7,10.7,72.6,22.3,Average
24,Male,Medium,89.9,29.1,60.1,12.6,Average
24,Female,Medium,76.3,3.0,69.6,19.8,At-Risk
18,Female,Low,79.9,13.4,47.1,20.8,Average
21,Female,Low,76.0,6.5,78.3,22.3,Average
22,Female,Medium,99.5,24.3,72.3,21.4,Average
18,Male,Medium,85.2,13.7,67.7,29.9,Excellent
19,Male,High,92.9,14.1,79.0,21.1,Average
19,Female,Low,98.0,17.2,70.5,21.5,Average
18,Female,Medium,86.6,15.0,77.3,25.8,Excellent
24,Male,Medium,73.0,12.0,81.5,19.5,Average
19,Male,Low,82.8,8.7,63.4,32.8,Average
23,Female,Low,77.6,15.8,60.0,29.0,Average
23,Female,Medium,80.0,16.9,49.3,19.2,Average
18,Female,Medium,84.1,18.5,71.5,30.1,Excellent
22,Female,Medium,83.7,24.6,75.4,31.1,Excellent
22,Male,Medium,89.1,4.1,54.1,19.3,Average
18,Male,Medium,90.6,14.7,87.0,19.2,Average
22,Male,Low,83.7,21.0,60.1,21.9,Average
24,Female,Medium,89.0,14.4,44.8,17.9,Average
24,Female,High,79.5,3.3,87.9,21.1,Average
22,Male,Medium,98.1,8.5,46.3,23.0,Average
23,Male,Medium,79.3,16.6,81.6,27.5,Excellent
22,Male,Medium,97.0,16.5,78.7,25.4,Average
24,Male,Medium,70.2,18.4,73.8,24.3,Average
20,Female,Medium,81.2,11.1,63.7,22.6,Average
21,Male,Medium,81.7,16.3,76.0,18.5,Average
19,Male,High,87.8,10.3,82.6,28.0,Excellent
20,Male,Low,93.6,16.3,58.2,27.8,Average
22,Male,Low,72.5,15.3,81.7,21.9,Average
23,Male,Medium,73.9,10.9,81.2,19.5,Average
18,Male,High,71.0,22.8,73.5,32.8,Excellent
22,Male,Low,98.2,6.5,63.5,26.2,Average
23,Female,Medium,88.0,14.3,81.2,27.0,Average
21,Female,Low,74.2,10.8,76.1,27.2,Average
22,Female,Medium,80.6,24.2,57.8,19.0,Average
24,Female,Medium,96.8,18.0,65.6,32.5,Excellent
18,Male,Medium,82.2,11.8,79.8,23.0,Average
23,Female,Medium,81.6,13.6,71.4,29.1,Average
23,Female,Medium,77.2,24.3,83.0,32.3,Excellent
23,Male,Low,74.8,10.3,65.9,25.4,Average
21,Male,Medium,96.8,6.2,58.0,19.1,Average
22,Female,Medium,100.0,16.5,96.3,12.5,Excellent
21,Female,High,75.1,16.6,49.8,24.8,Average
19,Male,High,99.0,18.3,64.0,26.3,Average
19,Female,Low,80.1,18.4,73.4,22.1,Average
22,Male,High,90.3,23.9,81.8,25.7,Excellent
24,Male,Medium,99.1,6.4,77.8,27.2,Excellent
21,Male,Medium,83.5,9.0,97.7,30.0,Excellent
18,Male,Medium,81.7,18.3,68.6,23.9,Average
23,Female,Medium,93.0,9.5,59.5,24.8,Average
23,Male,Medium,73.9,7.7,67.4,24.1,Average
22,Male,Low,96.5,24.3,66.2,25.2,Excellent
24,Female,Medium,86.4,6.9,69.2,22.4,Excellent
19,Male,Medium,79.2,13.2,58.2,22.4,Average
19,Female,Medium,79.0,14.7,79.4,22.7,Excellent
23,Female,Medium,71.2,21.5,74.4,25.8,Average
22,Female,Medium,79.6,5.7,54.8,20.8,Average
21,Male,Low,82.4,17.1,81.6,22.7,Excellent
19,Female,High,74.4,10.5,60.3,34.0,Average
21,Female,High,84.5,18.1,55.8,29.5,Excellent
24,Male,Medium,89.7,10.5,71.0,20.2,Excellent
19,Female,High,82.9,22.9,48.9,29.3,Excellent
19,Female,Medium,91.6,10.5,77.1,28.1,Excellent
20,Female,High,76.9,2.7,35.9,24.5,At-Risk
19,Female,Low,95.0,11.1,57.6,21.5,Average
18,Female,Medium,86.2,13.7,88.9,20.9,Excellent
22,Male,Medium,100.0,20.4,61.8,26.1,Excellent
22,Female,Low,100.0,8.7,63.9,20.8,Average
21,Female,Low,80.3,8.8,85.3,30.5,Excellent
24,Male,Medium,80.7,19.8,60.5,31.9,Average
19,Male,Medium,82.5,8.1,79.2,24.8,Average
18,Male,Medium,91.0,14.1,84.1,30.7,Excellent
21,Female,Low,98.3,14.2,75.7,22.9,Average
20,Male,High,78.5,16.1,52.7,21.4,Average
21,Female,Medium,88.8,11.3,62.8,30.5,Excellent
21,Female,Medium,83.6,10.4,100.0,32.9,Excellent
19,Male,Medium,91.2,16.7,64.1,34.8,Excellent
20,Male,Medium,100.0,10.5,100.0,26.7,Excellent
21,Female,Medium,82.6,8.2,90.5,29.3,Excellent
18,Male,High,68.3,21.1,76.2,26.6,Average
18,Female,Medium,92.4,17.4,73.6,32.0,Excellent
22,Male,Medium,76.7,23.8,64.4,27.2,Average
20,Male,High,83.6,18.9,68.9,29.0,Average
20,Male,Medium,92.9,8.7,61.7,19.3,Average
22,Female,Low,88.0,15.5,69.2,23.8,Average
21,Male,Low,84.0,9.9,53.7,29.1,Average
20,Female,Low,79.2,6.7,53.0,28.6,Average
18,Female,Medium,56.0,12.8,85.6,29.5,Average
18,Female,Medium,92.0,19.9,50.7,25.6,Average
19,Female,Low,82.5,16.4,80.6,21.7,Excellent
20,Male,High,100.0,8.0,47.3,24.7,At-Risk
21,Female,Medium,89.0,12.6,77.6,25.2,Excellent
22,Female,Medium,79.6,14.3,67.5,26.2,Average
22,Male,Medium,95.7,6.6,85.9,20.2,Average
21,Female,Medium,96.5,18.6,66.0,23.7,Average
24,Male,Low,82.8,13.9,45.9,24.6,Average
23,Female,Medium,96.9,8.0,67.7,13.8,Average
19,Male,High,79.4,7.8,71.9,29.2,Average
22,Female,Medium,86.6,20.5,68.4,25.8,Excellent
20,Male,Medium,90.7,13.1,76.9,26.3,Excellent
19,Female,Medium,92.8,21.0,63.2,22.4,Average
20,Female,Low,91.2,22.9,54.8,27.9,Excellent
24,Male,Low,81.7,20.1,58.0,20.8,Average
18,Male,Medium,95.9,12.3,63.8,21.6,Average
19,Male,Medium,83.8,2.5,63.7,28.1,Average
22,Male,Low,79.3,16.6,98.9,26.8,Excellent
19,Female,High,79.5,25.5,85.1,18.6,Average
19,Female,High,100.0,14.8,78.2,32.9,Excellent
19,Male,Medium,77.6,5.1,75.4,21.2,Average
23,Female,High,97.9,11.6,73.6,24.3,Excellent
19,Male,Medium,73.6,14.1,73.7,33.7,Average
20,Male,High,89.9,9.5,72.0,14.7,Average
18,Female,Low,88.0,2.2,70.5,16.5,Average
24,Female,High,100.0,14.5,44.9,27.2,Average
21,Female,High,78.5,11.1,65.6,12.6,Average
19,Female,Medium,75.7,23.9,67.1,14.8,Average
22,Female,High,83.8,15.5,61.0,30.9,Average
19,Female,Medium,100.0,17.3,63.3,23.0,Average
22,Female,Medium,76.2,14.4,73.6,36.0,Excellent
20,Male,Medium,59.1,15.5,79.2,19.8,Average
22,Male,Medium,85.6,6.7,73.6,23.4,Excellent
21,Male,Low,94.5,9.8,78.9,27.7,Excellent
18,Male,Medium,74.9,20.4,79.1,27.4,Average
22,Male,High,93.5,16.0,66.4,23.7,Excellent
22,Female,Low,74.6,13.0,76.3,21.8,Average
18,Male,Medium,83.5,17.4,49.0,26.2,Average
21,Male,High,92.5,17.5,65.4,31.9,Excellent
19,Male,High,73.1,25.0,64.0,28.8,Average
22,Male,High,86.8,15.8,88.4,21.8,Excellent
18,Male,Medium,97.1,9.7,74.0,20.0,Average
20,Male,High,89.7,14.4,54.0,21.5,Average
18,Male,Medium,77.8,18.0,77.1,18.6,Average
20,Female,Low,100.0,20.0,80.9,25.7,Excellent
21,Female,Medium,91.6,6.9,68.9,29.1,Average
19,Male,Medium,66.4,16.3,78.3,24.6,Excellent
18,Female,Medium,93.6,10.5,40.1,33.6,Average
24,Female,Medium,79.3,12.2,37.6,33.9,Average
24,Female,Medium,87.0,19.2,55.9,26.5,Average
23,Female,Low,95.1,18.7,71.8,28.5,Excellent
22,Male,Medium,79.5,11.6,88.4,20.5,Average
21,Female,Medium,68.5,14.2,56.5,23.2,Average
18,Female,Medium,100.0,12.3,59.8,31.4,Average
24,Female,Low,96.6,29.5,71.1,22.1,Excellent
22,Male,Low,84.1,16.4,64.1,32.4,Excellent
24,Male,Medium,93.5,10.8,63.4,30.6,Average
18,Male,High,81.3,21.6,64.9,28.8,Average
20,Male,Medium,86.0,21.8,85.8,19.1,Average
18,Male,Medium,83.6,24.0,83.4,23.4,Average
23,Male,Medium,81.7,25.4,70.3,28.2,Average
18,Male,Medium,88.6,18.5,89.9,20.1,Excellent
18,Female,High,72.9,13.3,76.1,24.0,Average
23,Female,Medium,82.5,14.0,83.8,28.8,Excellent
21,Female,Low,88.1,13.5,59.7,22.2,Average
18,Male,Medium,100.0,13.0,62.2,20.8,Average
23,Male,Low,73.3,21.2,62.0,16.0,Average
22,Male,Medium,90.2,15.0,69.0,23.1,Average
20,Male,Medium,91.3,19.9,70.7,28.9,Average
20,Male,Low,66.2,18.4,73.9,20.6,Average
18,Female,Medium,89.1,9.5,93.7,25.1,Excellent
21,Female,Medium,93.8,6.4,78.7,23.9,Excellent
21,Male,High,90.9,8.8,63.8,21.7,Average
22,Male,High,84.2,12.9,70.0,29.2,Average
18,Male,Low,88.3,15.7,88.1,33.2,Excellent
20,Male,Medium,86.7,11.8,79.4,30.0,Excellent
21,Female,Medium,68.1,18.5,87.9,21.5,Excellent
18,Male,Medium,86.9,12.4,64.2,35.0,Excellent
24,Male,Medium,81.3,16.3,61.5,30.0,Excellent
21,Male,High,78.0,15.6,61.6,22.7,Average
23,Male,High,100.0,23.7,65.2,21.1,Average
24,Female,Medium,97.5,10.1,57.2,30.6,Average
21,Male,Medium,73.5,26.0,73.5,25.9,Average
20,Male,Medium,88.5,12.0,73.7,20.7,Average
19,Female,Medium,99.6,8.3,86.1,24.3,Average
24,Female,Medium,70.0,13.9,48.9,23.0,Average
22,Female,Medium,85.8,31.2,58.7,20.9,Average
22,Male,Medium,86.2,19.5,79.7,30.1,Excellent
20,Male,Medium,72.3,18.0,72.2,28.9,Average
21,Female,Low,88.8,19.0,70.5,29.2,Excellent
18,Female,High,96.2,11.2,85.2,29.1,Excellent
21,Female,Low,100.0,16.6,57.9,20.4,Average
20,Female,Medium,82.5,15.0,61.3,22.0,Average
22,Female,Medium,100.0,24.0,59.8,32.3,Average
21,Female,Low,64.4,14.5,45.8,25.5,Average
22,Male,Low,88.6,13.1,71.6,17.6,Average
24,Male,Low,70.9,9.2,63.7,26.1,Average
18,Male,High,85.9,15.7,61.2,28.3,Average
24,Female,Medium,79.8,16.5,59.0,27.6,Average
22,Female,High,90.1,9.0,69.8,20.3,Average
22,Female,Medium,83.7,17.3,60.4,34.4,Average
19,Female,Medium,76.7,16.2,72.7,17.5,Average
19,Female,Medium,77.4,20.1,75.5,25.6,Excellent
24,Female,Medium,100.0,21.1,66.5,33.7,Excellent
23,Male,Medium,89.4,15.5,65.7,28.0,Excellent
24,Male,Medium,68.0,9.8,72.2,29.2,Average
19,Female,Medium,90.5,10.8,69.7,19.7,Average
22,Male,High,83.1,23.8,86.0,26.7,Excellent
20,Female,High,85.0,15.8,73.8,24.8,Excellent
24,Male,High,93.2,23.7,83.1,19.3,Average
22,Female,Medium,96.8,17.5,77.3,29.3,Excellent
20,Female,Medium,76.4,18.8,54.2,20.9,Average
20,Male,Medium,84.7,19.7,63.3,21.5,Average
19,Male,Medium,79.5,8.9,69.4,27.2,Average
24,Female,Medium,91.0,16.5,80.4,24.3,Excellent
21,Female,Medium,82.7,8.8,93.1,25.8,Excellent
18,Male,Low,85.3,13.6,64.2,24.0,Excellent
19,Male,Medium,82.3,18.2,70.7,32.1,Excellent
19,Female,High,83.9,9.9,79.6,20.4,Average
21,Male,Medium,100.0,17.8,69.3,22.7,Excellent
18,Female,Low,100.0,7.5,89.7,27.4,Excellent
22,Female,Low,88.8,20.7,53.8,20.1,Average
23,Female,High,84.0,11.7,78.1,19.8,Average
24,Female,Medium,69.0,9.9,78.0,25.7,Average
23,Male,Medium,77.4,7.8,83.8,29.3,Excellent
22,Male,High,83.7,12.1,70.7,30.0,Excellent
19,Male,High,77.8,5.5,80.7,25.5,Average
18,Male,Medium,78.9,12.3,67.0,21.6,Excellent
19,Male,Medium,100.0,20.5,60.4,26.4,Average
20,Male,Medium,85.3,14.1,58.6,27.8,Average
19,Male,Medium,86.2,9.1,52.7,26.3,Average
19,Female,Low,78.3,16.1,64.7,31.2,Average
22,Male,High,96.8,15.7,73.7,19.9,Average
22,Male,Medium,82.9,24.8,67.5,21.5,Average
22,Female,Medium,79.8,19.0,72.4,30.5,Excellent
23,Male,Medium,69.2,16.5,84.8,17.6,Excellent
20,Male,Low,84.4,19.5,63.8,22.3,Average
22,Female,Low,79.5,14.3,98.1,21.3,Excellent
18,Male,Medium,100.0,14.6,79.1,17.2,Excellent
23,Male,Low,100.0,23.3,67.6,24.1,Excellent
21,Male,Medium,72.6,6.8,67.4,28.7,Average
18,Female,Medium,73.8,19.8,57.9,25.8,Average
24,Male,Low,82.2,14.4,69.7,29.0,Excellent
24,Male,High,76.8,13.5,44.1,31.0,Average
18,Female,Medium,87.2,12.2,85.1,23.1,Excellent
22,Male,Medium,81.7,15.8,36.2,38.2,Average
21,Female,Medium,87.8,14.8,70.5,23.3,Excellent
21,Female,Medium,95.2,12.9,56.3,23.9,Average
23,Male,Low,74.4,11.5,61.6,21.5,Average
21,Female,Medium,95.0,5.5,63.1,27.7,Average
24,Female,High,77.7,11.4,93.1,23.5,Average
20,Male,Medium,100.0,12.4,56.8,24.6,Average
22,Female,Medium,100.0,15.8,81.0,24.0,Excellent
21,Female,Medium,83.9,24.8,83.9,23.9,Excellent
23,Male,High,75.4,11.9,41.9,25.8,Average
24,Male,Medium,73.5,9.9,62.6,22.7,Average
20,Male,Medium,93.7,11.4,87.8,23.0,Excellent
19,Female,Medium,84.7,15.8,54.2,30.4,Average
19,Male,Medium,94.3,17.9,84.4,23.5,Excellent
20,Female,High,100.0,18.6,69.8,26.9,Excellent
24,Female,Low,77.3,19.1,69.3,20.6,Average
23,Female,Medium,72.7,19.8,70.8,22.8,Average
20,Female,High,86.9,13.6,74.1,18.8,Average
22,Female,High,96.4,25.3,58.5,34.3,Excellent
22,Female,High,75.6,13.2,66.9,31.9,Average
19,Female,Medium,85.3,15.5,74.4,28.0,Average
21,Male,Medium,98.7,21.5,72.1,35.8,Excellent
23,Male,Medium,68.7,17.8,74.2,28.9,Excellent
19,Female,Medium,87.4,3.8,61.4,24.1,Average
21,Female,Low,79.6,15.0,77.6,26.9,Average
21,Male,Medium,86.2,19.3,71.5,31.8,Excellent
22,Female,Medium,92.1,8.3,51.0,20.6,Average
24,Male,Low,87.2,18.8,63.6,19.1,Average
18,Male,Medium,74.9,17.0,59.3,27.0,Excellent
24,Male,Medium,80.0,20.9,59.1,22.1,Average
18,Female,High,99.3,11.5,64.3,13.7,Average
20,Female,Low,88.3,20.0,77.4,18.8,Excellent
22,Male,Medium,93.4,15.8,62.5,23.4,Average
21,Male,Medium,87.5,23.8,72.7,25.2,Average
23,Male,Medium,93.1,28.9,70.7,25.4,Average
18,Male,Medium,81.0,22.7,60.7,35.0,Excellent
24,Male,Medium,77.3,17.4,65.9,24.0,Average
21,Female,Low,92.6,26.6,80.4,26.4,Excellent
18,Male,Medium,96.3,18.0,71.8,16.9,Average
18,Female,Medium,75.9,10.5,76.6,24.8,Excellent
18,Male,Medium,79.2,14.8,85.3,26.7,Average
23,Female,High,83.4,18.8,75.2,18.1,Average
22,Female,High,100.0,19.1,47.0,20.3,Average
23,Female,Medium,90.6,9.4,73.2,27.4,Average
19,Female,Medium,71.8,9.5,62.6,22.3,At-Risk
21,Female,Medium,84.1,13.3,91.7,24.5,Average
22,Female,High,82.5,17.7,74.8,27.7,Average
22,Male,Medium,73.3,18.3,62.8,35.2,Average
22,Female,Medium,84.0,15.7,76.8,23.9,Excellent
24,Male,High,82.1,10.8,71.1,33.8,Excellent
22,Female,Medium,81.4,23.7,49.4,15.2,Average
23,Female,High,80.9,9.6,80.4,25.7,Excellent
22,Male,Low,99.7,21.5,65.1,23.3,Excellent
20,Female,Medium,81.4,18.7,87.0,22.3,Excellent
21,Male,Medium,85.5,21.4,68.5,28.3,Average
22,Male,High,84.4,12.8,87.3,23.9,Excellent
21,Male,High,79.9,14.3,75.1,14.9,Average
20,Male,Medium,85.8,15.3,81.7,17.1,Average
20,Female,Medium,85.7,12.6,64.1,28.6,Excellent
21,Female,Medium,85.8,16.1,74.2,16.8,Average
18,Male,High,76.4,22.9,49.3,28.7,Average
19,Female,Medium,82.9,8.5,68.5,25.6,Average
24,Female,Medium,92.6,11.7,52.2,24.1,Excellent
18,Male,Low,83.2,11.2,56.3,24.6,Average
18,Female,Medium,86.6,14.5,59.3,27.6,Average
23,Male,Medium,86.7,14.3,77.9,19.1,Average
24,Male,Medium,89.2,18.9,68.2,25.2,Average
24,Female,Low,90.6,15.2,70.4,19.3,Average
18,Female,High,83.3,16.5,67.9,25.8,Average
22,Female,Low,75.9,17.0,83.0,28.2,Average
23,Male,Medium,72.8,16.2,70.0,25.8,Average
23,Male,High,95.2,18.5,73.0,28.0,Excellent
20,Female,Medium,92.7,14.4,63.2,21.5,Average
24,Female,Medium,91.5,23.2,83.8,24.7,Average
18,Female,Medium,93.1,27.7,84.7,23.8,Excellent
20,Female,High,83.4,18.5,69.6,23.5,Average
21,Male,Medium,78.8,16.1,63.0,21.0,Average
19,Female,High,75.2,18.1,50.6,22.8,Average
23,Male,Low,74.1,9.5,59.6,19.4,Average
21,Male,Medium,97.1,15.9,44.0,16.5,Average
21,Female,Medium,80.1,11.3,59.1,21.5,Average
22,Female,High,95.5,17.5,74.3,28.1,Excellent
19,Female,Low,83.1,11.4,69.4,26.2,Excellent
21,Male,High,78.2,13.3,97.9,18.7,Excellent
21,Female,Medium,74.1,5.6,65.5,23.0,Average
19,Female,Medium,79.1,9.1,64.6,28.5,Average
19,Male,Low,99.2,16.8,82.8,22.8,Excellent
21,Female,High,74.2,10.7,46.9,17.9,Average
19,Male,Low,100.0,20.3,52.2,36.3,Excellent
21,Female,Medium,76.6,10.2,78.0,24.2,Excellent
21,Male,Medium,92.5,17.3,67.7,19.2,Average
22,Female,High,83.5,11.2,67.9,25.9,Average
18,Female,Medium,81.8,16.9,58.8,24.6,Average
21,Male,Medium,72.3,7.3,72.9,17.3,Average
20,Male,Medium,84.0,12.7,60.3,25.5,Average
23,Female,Medium,73.4,10.8,70.9,29.9,Excellent
24,Male,Medium,68.2,19.4,56.1,23.8,Average
18,Male,High,86.2,17.3,67.8,14.7,Average
18,Male,High,78.6,8.8,94.3,26.7,Excellent
18,Male,Low,100.0,14.0,64.9,28.0,Average
22,Female,Medium,95.0,11.1,68.4,22.1,Average
21,Female,Low,100.0,19.8,67.6,22.1,Average
22,Male,Medium,78.2,21.4,72.1,36.3,Excellent
21,Male,Medium,86.4,7.8,75.6,21.7,Average
22,Male,Medium,58.8,19.1,73.1,19.4,Average
22,Male,Medium,82.2,10.9,73.4,25.1,Average
23,Female,Medium,86.0,13.7,67.8,27.9,Average
20,Female,Medium,86.5,15.2,71.2,27.7,Average
22,Male,Medium,84.6,24.1,67.4,12.7,Average
23,Male,Medium,85.7,10.0,48.3,21.7,Average
19,Male,Low,57.9,19.2,100.0,30.8,Excellent
20,Female,Medium,87.6,9.1,78.7,26.6,Excellent
22,Male,Medium,89.8,8.8,58.2,18.8,Average
24,Female,Medium,98.4,15.1,72.8,31.2,Excellent
18,Male,Medium,88.7,15.1,53.8,29.8,Average
19,Female,Medium,83.7,0.8,64.1,23.5,Average
19,Male,Low,96.0,20.8,52.2,29.4,Average
23,Female,Medium,61.4,4.3,69.4,35.0,Average
19,Male,High,79.9,14.3,51.0,19.7,Average
20,Male,Medium,77.3,21.6,74.7,27.8,Excellent
22,Male,Medium,84.7,26.0,78.2,34.9,Excellent
22,Female,Medium,63.0,13.2,60.1,28.3,Average
24,Male,Low,98.2,7.8,71.9,21.2,Excellent
18,Female,Medium,82.5,21.5,59.4,26.2,Average
23,Female,Medium,88.2,19.3,76.1,31.8,Average
18,Male,Low,87.2,12.6,61.7,19.9,Average
19,Male,Medium,97.6,11.9,79.5,24.8,Excellent
24,Male,Medium,66.4,11.4,48.3,23.8,Average
18,Female,Medium,86.1,13.3,57.9,21.8,Average
20,Male,High,96.5,16.6,56.7,26.2,Average
22,Female,Low,84.0,12.2,72.4,24.5,Excellent
19,Female,Medium,75.5,12.8,76.7,28.2,Average
24,Male,Low,79.0,18.2,73.4,30.7,Excellent
18,Male,High,81.1,7.6,63.9,18.6,Average
23,Male,Low,77.8,13.1,36.5,25.3,Average
20,Male,Medium,83.5,6.6,70.5,24.7,Average
20,Male,Medium,100.0,15.5,79.5,26.0,Excellent
18,Male,Medium,79.0,5.3,100.0,24.9,Excellent
22,Female,Medium,80.1,19.5,64.9,20.1,Average
18,Female,Medium,89.6,8.4,62.0,32.3,Excellent
19,Female,Medium,83.3,6.1,73.8,34.4,Excellent
18,Male,Medium,71.7,13.2,66.9,27.7,Average
20,Female,Medium,84.4,23.6,85.3,28.0,Excellent
24,Female,Medium,84.0,18.6,60.3,25.7,Average
18,Female,Medium,94.8,5.4,67.0,29.8,Average
22,Female,Medium,75.3,8.3,80.5,12.8,Average
24,Female,Medium,94.8,13.0,73.7,25.0,Excellent
23,Male,High,84.0,26.2,83.9,22.1,Excellent
21,Male,Medium,73.9,10.3,64.8,25.7,Average
18,Female,Low,71.9,10.3,85.2,30.5,Excellent
22,Female,Low,100.0,22.6,50.0,25.1,Excellent
24,Female,High,83.4,16.0,50.5,23.2,Average
22,Male,Medium,94.4,20.3,85.3,18.0,Excellent
23,Male,Low,67.9,11.4,70.1,24.5,Average
20,Female,Medium,100.0,14.5,81.0,28.4,Excellent
22,Male,Medium,93.9,21.6,71.2,20.8,Average
24,Male,Medium,82.4,14.3,69.9,15.0,Average
22,Female,Medium,81.9,20.6,54.1,36.4,Excellent
22,Male,Low,92.3,16.9,69.7,26.7,Average
22,Male,High,91.8,9.8,86.3,23.9,Average
19,Female,Medium,86.8,14.9,70.7,32.0,Average
19,Male,Medium,85.1,19.9,78.2,25.7,Excellent
20,Male,Medium,90.6,18.3,77.9,31.7,Average
18,Female,Medium,67.6,14.8,57.8,31.2,Average
22,Male,Medium,81.3,5.5,80.3,18.6,Average
23,Male,Medium,68.5,6.0,66.2,27.3,Average
18,Female,Medium,91.0,7.1,66.9,33.6,Excellent
23,Female,High,78.2,12.4,95.2,20.0,Excellent
18,Female,High,69.3,13.1,77.2,20.1,Average
20,Male,Low,77.1,7.6,62.3,20.9,Average
22,Female,Low,86.5,20.1,70.8,29.5,Excellent
22,Male,High,82.9,8.7,70.4,26.4,Average
21,Female,Medium,73.3,8.1,90.2,15.3,Excellent
23,Male,High,68.0,15.4,70.5,26.7,Excellent
18,Female,Medium,85.7,19.9,96.5,23.7,Excellent
18,Female,Medium,79.2,25.3,54.4,24.4,Average
19,Female,Medium,82.4,17.9,69.6,20.8,Average
21,Female,Medium,83.4,22.9,60.8,26.7,Average
24,Male,Medium,89.3,8.9,64.1,30.3,Average
24,Female,Low,93.5,25.8,64.3,21.8,Average
19,Female,Medium,86.5,5.7,61.5,16.6,Average
19,Male,Medium,81.8,12.5,90.8,23.5,Average
19,Female,Medium,85.2,17.8,87.1,28.8,Excellent
23,Male,High,81.6,7.0,74.8,22.9,Average
23,Female,Medium,68.6,10.4,64.3,17.5,Average
20,Female,High,95.9,9.6,61.8,28.8,Excellent
20,Female,Low,94.0,13.4,78.9,32.1,Excellent
19,Male,Medium,100.0,22.1,73.6,25.1,Average
21,Female,High,100.0,15.1,68.3,17.0,Average
18,Female,Low,73.2,12.7,76.5,23.4,Average
23,Female,Low,81.6,0.6,80.7,25.8,Average
21,Male,Medium,100.0,17.3,68.2,21.0,Average
22,Male,Low,84.6,19.0,60.6,27.9,Excellent
23,Female,Medium,87.4,6.5,54.1,20.5,Average
23,Male,High,69.8,14.7,73.0,25.1,Average
20,Female,Medium,86.5,16.0,96.0,23.9,Excellent
18,Female,Medium,100.0,19.8,56.7,28.1,Excellent
18,Female,Medium,97.9,11.4,83.2,24.9,Excellent
24,Female,Medium,78.9,10.6,61.9,24.0,Average
24,Female,Low,81.0,12.7,64.3,21.0,Average
24,Female,Medium,73.7,21.4,81.0,25.2,Average
24,Female,Medium,76.5,20.2,66.9,23.7,Excellent
22,Male,Medium,65.9,14.9,73.0,20.6,Average
22,Male,Medium,84.2,20.1,72.7,25.8,Excellent
23,Male,Medium,100.0,3.2,61.9,26.8,Excellent
19,Male,Low,88.6,19.0,80.7,23.3,Average
20,Male,Low,98.7,9.4,69.3,29.7,Excellent
20,Male,High,95.7,23.8,53.3,26.3,Excellent
24,Male,Medium,79.5,9.7,59.3,18.6,Average
23,Female,Low,77.4,10.7,32.6,31.7,Average
21,Female,Medium,77.8,17.8,70.6,28.8,Average
19,Female,Medium,67.8,18.3,85.6,30.0,Average
23,Female,Medium,85.3,12.8,57.4,27.0,Average
